OID,GEOID10,Census Tract,Block Group,Block Group Name,Tract and Block Group,Gross Land Acres,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Population Change 2000-2010,Percent Population Change 2000-2010,Population Change 2010-2017,Percent Population Change 2010-2017,2017 Population Density,2010 to 2017 Population Change,2010 to 2017 Percent Population Change,2010 Population Density
449,5.3033E+11,67,2,Block Group 2,6700.2,73.11625829,1737,1741.172,1743.605,1945.284,2109.478,2557.508,2989.31,3117.401,422.948,32.19%,1380.401,79.47%,42.69863014,1380,79.5,23.79452055
450,5.3033E+11,54,2,Block Group 2,5400.2,110.5210575,1316,1314.465,1313.328,1320.84,1343.741,1358.651,1521.199,1697.854,203.957,18.34%,381.854,29.02%,15.2972973,382,29,11.85585586
451,5.3033E+11,54,4,Block Group 4,5400.4,53.82548251,1233,1366.498,1386.369,1646.068,1683.572,1704.872,1997.829,2068.067,241.961,24.42%,835.067,67.73%,38.2962963,835,67.7,22.83333333
452,5.3033E+11,54,1,Block Group 1,5400.1,55.70916683,1120,1120.624,1117.041,1129.586,1132.337,1147.359,1168.822,1199.826,19.956,1.81%,79.826,7.13%,21.42857143,80,7.1,20
453,5.3033E+11,61,4,Block Group 4,6100.4,52.22005825,1159,1166.193,1166.962,1177.002,1198.546,1236.851,1278.487,1394.051,7.954,0.69%,235.051,20.28%,26.80769231,235,20.3,22.28846154
454,5.3033E+11,51,2,Block Group 2,5100.2,78.78930363,1243,1234.504,1237.473,1243.959,1249.526,1261.673,1281.306,1306.894,35.949,2.98%,63.894,5.14%,16.5443038,64,5.1,15.73417722
455,5.3033E+11,61,2,Block Group 2,6100.2,97.00273191,1099,1095.087,1096.095,1101.378,1109.677,1123.933,1147.528,1178.327,-61.047,-5.26%,79.327,7.22%,12.1443299,79,7.2,11.32989691
456,5.3033E+11,63,4,Block Group 4,6300.4,277.3878983,1287,1290.19,1296.811,1299.53,1314.085,1333.548,1360.883,1393.124,-18.053,-1.38%,106.124,8.25%,5.028880866,106,8.2,4.646209386
457,5.3033E+11,80.01,3,Block Group 3,8001.3,60.83134214,1054,1052.459,1052.818,1059.807,1068.597,1087.637,1117.189,1271.677,415.974,65.20%,217.677,20.65%,20.85245902,218,20.7,17.27868852
458,5.3033E+11,70,4,Block Group 4,7000.4,29.38725454,1088,1086.477,1095.454,1102.137,1116.886,1137.406,1218.384,1249.436,77.96,7.72%,161.436,14.84%,43.06896552,161,14.8,37.51724138
459,5.3033E+11,60,4,Block Group 4,6000.4,64.48644603,1185,1191.441,1194.09,1237.058,1244.791,1266.215,1299.11,1467.589,173.959,17.21%,282.589,23.85%,22.9375,283,23.8,18.515625
460,5.3033E+11,49,4,Block Group 4,4900.4,54.31870485,1276,1272.567,1277.51,1286.203,1298.236,1323.23,1338.877,1387.594,31.95,2.57%,111.594,8.75%,25.7037037,112,8.7,23.62962963
461,5.3033E+11,81,1,Block Group 1,8100.1,82.29211441,1478,1476.037,1477.243,1818.367,1873.643,1906.903,1964.237,1923.993,309.953,26.54%,445.993,30.18%,23.46341463,446,30.2,18.02439024
462,5.3033E+11,73,3,Block Group 3,7300.3,93.83184369,1613,1610.847,1611.705,1622.614,1821.394,2264.36,2678.871,3318.968,1367.991,558.34%,1705.968,105.76%,35.30851064,1706,105.8,17.15957447
463,5.3033E+11,83,1,Block Group 1,8300.1,27.1445261,933,931.592,933.836,940.891,949.791,967.868,995.937,977.063,-272.048,-22.58%,44.063,4.72%,36.18518519,44,4.7,34.55555556
464,5.3033E+11,86,1,Block Group 1,8600.1,63.9278918,1207,1215.405,1215.896,1287.877,1559.315,1600.026,1723.413,1752.546,348.967,40.67%,545.546,45.20%,27.390625,546,45.2,18.859375
465,5.3033E+11,79,5,Block Group 5,7900.5,29.92594427,1167,1167.546,1174.284,1407.244,1446.359,1513.635,1588.927,1855.696,-16.048,-1.36%,688.696,59.01%,61.86666667,689,59,38.9
466,5.3033E+11,87,2,Block Group 2,8700.2,40.53269565,1112,1111.076,1111.772,1130.101,1162.437,1194.907,1258.06,1311.463,92.958,9.12%,199.463,17.94%,31.97560976,199,17.9,27.12195122
467,5.3033E+11,79,1,Block Group 1,7900.1,47.71777881,1025,1025.72,1031.135,1040.198,1048.655,1068.229,1206.409,1273.837,394.975,62.69%,248.837,24.28%,26.54166667,249,24.3,21.35416667
468,5.3033E+11,77,1,Block Group 1,7700.1,97.71510476,1171,1173.648,1174.058,1183.693,1191.69,1217.824,1245.906,1284.722,-14.047,-1.19%,113.722,9.71%,13.1122449,114,9.7,11.94897959
469,5.3033E+11,78,2,Block Group 2,7800.2,120.9326322,1527,1529.938,1530.403,1547.194,1554.07,1569.79,1601.762,1644.835,-21.063,-1.36%,117.835,7.72%,13.59504132,118,7.7,12.61983471
470,5.3033E+11,93,3,Block Group 3,9300.3,1595.2486,1149,1148.089,1148.488,1154.904,1160.992,1173.018,1199.136,1199.331,176.96,18.21%,50.331,4.38%,0.751724138,50,4.4,0.720376176
